"","GSM2550529_10SE2524.CEL.gz","GSM2550530_10SE2525.CEL.gz","GSM2550531_10SE2526.CEL.gz","GSM2550532_10SE2527.CEL.gz","GSM2550533_10SE2528.CEL.gz","GSM2550534_10SE2529.CEL.gz"
"Les.1488.1.A1_at",4.40722959348546,4.20007463513631,4.10800983395814,4.15136724698698,4.354833133879,4.43451839346516
"Les.149.1.S1_at",12.7583743442944,12.7101057690417,12.6849609101298,12.7583743442944,12.603946105127,12.9409634044201
"Les.1491.1.S1_at",7.88871875492281,7.97684869500837,7.63903780290983,7.06731219734563,7.70973008854806,6.81439813174594
"Les.1492.1.S1_at",11.3720567176762,11.7911392976231,11.5536428827417,10.6572276933672,11.5401719743038,10.6276357558012
"Les.1492.2.A1_at",11.9742685519388,12.2474235570394,12.0571728114732,11.2418150978359,12.0773773489021,11.2184614391299
"Les.1493.1.S1_at",10.0430290468951,10.0525177446844,9.93737108135444,9.28512162689023,9.58367706647244,9.20539732435469
"Les.1495.1.S1_at",6.47483905892943,6.45666023845096,6.26886036396446,6.73629242886969,6.8083118380768,6.77902760390536
"Les.1498.1.S1_at",6.40553663410909,6.55231074418309,6.57190064067628,6.89344826723053,6.71147396657624,7.21128675743214
"Les.1499.1.A1_at",3.81957824763623,3.79293046331847,3.78638473189294,3.79293046331847,3.81647963405521,3.73452843633417
"Les.15.1.S1_at",7.50221291469226,7.59967403821859,7.35687456967825,7.67232911804433,7.67177561633726,7.09670266598818
"Les.150.1.S1_at",9.07516145665831,9.20530752274605,9.07516145665831,9.48509237994385,9.44369031594017,9.42159299348613
"Les.1500.1.A1_at",10.9496534834932,10.8746859774957,10.8968578575943,10.8858635136607,10.8572702004636,11.0093604391771
"Les.1501.1.A1_at",9.28113481848317,9.28372299250067,9.64045864205566,10.0386685325908,9.27621496393799,10.0086187431172
"Les.1501.2.S1_at",7.96944153538566,7.97122515387285,8.21470372849035,8.60367557567154,7.58127226605631,8.5908842796414
"Les.1502.1.S1_at",10.3672109211091,10.2570712165556,10.3462934603527,10.2711337039962,10.2961146163214,10.4972390285077
"Les.1503.1.A1_at",9.86358200667116,9.63463143333656,9.72930786220275,9.45816985077849,9.46393772734713,9.43837857536483
